id,issue_id,title,authors,affiliations,emails,abstract_ro,abstract_en,keywords_ro,keywords_en,pages_start,pages_end,doi,language,status
1,1,Un nou început,Ion Taloș,"Institutul Arhiva de Folclor, păstrându‑și profilul stabilit în 1964.",,,,,,13,16,,ro,published
2,1,Cercetările etnologice zonale la Cluj,Ion Cuceu,"Institutul „Arhiva de Folclor a Academiei Române”, Cluj‑Napoca.",,,"In 2003–2004, the author of the article has initiated the published series: The Monographs of The Folklore Archive of the Romanian Academy. Regional Ethnographic Research, intended to foster monographic texts written by founder Ion Mușlea and the stipendees of the Folklore Archive Institute (between 1930 and 1948–1949). Many documents attest the utmost importance Ion Mușlea attached to those collections, such as: the annual activity reports, the correspondence with the authors, the full bibliographic lists around every field trip. Collecting every data surrounding regional research campaigns not only sheds light on the evolution of Cluj ethnography and folkloristics, but also brings forth the important theoretical‑methodological acquisitions thus obtained, together with the development of local modern ethnological field research. Less than half the number of the stipendees have entrusted their productions to their legitimate owner, the Folklore Archive of the Romanian Academy (FARA). The remaining extant collections represent wholesome archival funds, subsequent (second phase) to the indirect questionnaire collections of the first phase of FARA. Other national initiatives (Ioan Micu Moldovan, V.A. Urechia, B.P. Hasdeu, Ovid Densusianu, Ion Bianu, Dimitrie Gusti) from nearby timeframes are being duly and thoroughly considered in the article and framed together with the FARA heritage. The goal of every endeavour stood in the creation of the Ethnographical Atlas, the Encyclopaedia of Romanian Traditional Civilization, and the Folklore Corpus. Special focus is being given to Ovid Densușianu’s choice of region, marking a breakthrough in folklore methodology; FARA itself is originally his project, meant for Bucharest, eventually settled in Cluj (1930). Its journal, “The Yearbook of the Folklore Archive”, would publish monographic material right from the beginning. The second ground‑breaking epistemic change was brought by Ion Mușlea’s monographic enterprise in Folklore Research in Oaș County (1932). He later appealed to the Romanian Academy for the right to publish monographs as such (Oaș, Lăpușna, Almăj, Nistru Lower Valley, Scărișoara, Romanian Ugocea, Gurghiu Valley), yet was denied (1940). The monographic programme has officially been halted in 1948, to be resumed in the fifties and then halted again, in 1960–1962. The author states that, among the many virtues, Ion Mușlea has pioneered the research of Romanian magic traditions.","Arhiva de Folclor a Academiei Române, Ion Mușlea, monografie, etnologie regională, The Folklore Archive of the Romanian Academy, monograph, regional","Arhiva de Folclor a Academiei Române, Ion Mușlea, monografie, etnologie regională, The Folklore Archive of the Romanian Academy, monograph, regional",17,28,,ro,published
3,1,Arhiva de Folclor Cluj – O realitate acceptată,Elena Hlinca Drăgan,"Institutul „Arhiva de Folclor a Academiei Române”, Cluj‑Napoca.",,,"This paper follows the history of the folklore archive, from birth and growth of archival inclinations, all the way to the present‑day institution. The red line lies in the author’s ethnomusicological background, allowing her to encompass the paramount width covered by archival materials collected by many means, through multiple methodologies, for the entire existence of ninety years of our Folklore Archive of the Romanian Academy, of which she has been the custodian for 36 years (1966–2002). Beginning with a short outline of musical and choreutical folklore mentions throughout local history, the author is concentrating on the principles at the foundation of several local archival funds or collections, then follows the evolution of every taxonomical effort to them dedicated, to eventually state the present‑day structure of the Folklore Archive from Cluj (FAC/ AFC in Romanian). Proper attention is being given to the prominence of AFC as the first folklore‑tending institution to have offered locally index‑based systemic organization of folklore information.","arhiva de folclor, etnomuzicologie, index analitic, index pe genuri și specii muzicale, folklore archive, ethnomusicology, analytical index, musical genre index, thematic","arhiva de folclor, etnomuzicologie, index analitic, index pe genuri și specii muzicale, folklore archive, ethnomusicology, analytical index, musical genre index, thematic",29,44,,ro,published
4,1,ION H. CIUBOTARU Un vrednic urmaș al lui Ion Mușlea,Elena Hlinca Drăgan,"Institutul de Filologie Română „A. Philippide” al Academiei Române, Iași.",,,,,,45,58,,ro,published
5,1,Etnologul Ion Cuceu la 80 de Ani. O viață închinată Arhivei de Folclor,Sanda Ignat,"Institutul „Arhiva de Folclor a Academiei Române”, Cluj‑Napoca.",,,,,,59,63,,ro,published
6,1,"Sándor Varga, Two Traditional Central Transylvanian Dances and Their Economic and Cultural/ Political Background, in “Acta Ethnographica Hungarica” vol. 65, issue 1, 2020, p. 39–",N/A,,,,,,,64,66,,ro,published
7,1,In honorem Sabina Ispas,Ileana Benga,"Institutul „Arhiva de Folclor a Academiei Române”, Cluj‑Napoca.",,,,,,67,88,,ro,published
8,1,Sanda Golopenția: modelul și modelele,Nicolae Constantinescu,Universitatea din București.,,,,,,89,98,,ro,published
9,1,In memoriam István Almási (1934–2021),Zoltán Gergely,"Institutul „Arhiva de Folclor a Academiei Române”, Cluj‑Napoca.",,,,,,99,104,,ro,published
10,1,Profesorul Virgiliu Florea și Sibiul,Ilie Moise,"Institutul de Cercetări Socio‑Umane al Academiei Române, Sibiu.",,,"L’étude est un hommage à Virgiliu Florea à la célébration de huit décennies de sa naissance. Contributeur exceptionnel du périodique « Studii și comunicări de etnologie » depuis long temps avec des études d’une profondeur idéologique particulière, Virgiliu Florea a été en même temps un bon collègue et ami de tous les ethnologues de Sibiu, quelle que soit l’institution dans laquelle ils travaillaient: le Musée ASTRA, l’Université « Lucian Blaga » ou l’Institut de Recherche Socio‑Humaine de l’Académie Roumaine. Avec son style unique, sobre et rigoureux, Virgiliu Florea a servi, comme peu de gens ont réussi à le faire, le folklore roumain, la nation et le pays. Ses lettres que nous publierons ci‑dessous vont renforcer et confirmer nos déclarations.","etnologie, arhive de folclor, identitate etnică, scrisori, ethnologie, archives de folklore, identité ethnique, lettres","etnologie, arhive de folclor, identitate etnică, scrisori, ethnologie, archives de folklore, identité ethnique, lettres",105,114,,ro,published
