id,slug,year,volume,number,date_published,title,status,article_count,pages,doi_prefix,publisher,issn,issue_pdf_path,cover_hint_path,page_offset,series,series_label
"1","aaf-xxv-xxvi-2022","2022","25-26","1","2022-12-31","Anuarul Arhivei de Folclor XXV-XXVI","published","59","660","","Academia Română – Filiala Cluj-Napoca · Institutul „Arhiva de Folclor a Academiei Române”","1220-3661","ingest/issues/aaf-xxv-xxvi-2022/source/issue.pdf","ingest/issues/aaf-xxv-xxvi-2022/cover/","0","seria-3",""
"2","aaf-xxvii-2023","2023","27","1","2023-12-31","Anuarul Arhivei de Folclor XXVII","published","49","526","","Academia Română – Filiala Cluj-Napoca · Institutul „Arhiva de Folclor a Academiei Române”","1220-3661","ingest/issues/aaf-xxvii-2023/source/issue.pdf","ingest/issues/aaf-xxvii-2023/cover/","0","seria-3",""
"3","aaf-xxviii-2024","2024","28","1","2024-12-31","Anuarul Arhivei de Folclor XXVIII","published","24","254","","Academia Română – Filiala Cluj-Napoca · Institutul „Arhiva de Folclor a Academiei Române”","1220-3661","ingest/issues/aaf-xxviii-2024/source/issue.pdf","ingest/issues/aaf-xxviii-2024/cover/","0","seria-3",""
"4","aaf-xxix-2025","2025","29","1","2025-12-20","Anuarul Arhivei de Folclor XXIX","published","29","324","","Academia Română – Filiala Cluj-Napoca · Institutul „Arhiva de Folclor a Academiei Române”","1220-3661","ingest/issues/aaf-xxix-2025/source/issue.pdf","ingest/issues/aaf-xxix-2025/cover/","0","seria-3",""
"5","aaf-seria1-1932-vol-i","1932","I","1","1932-12-31","Anuarul Arhivei de Folklor I","published","10","255","","","","ingest/series1/BCUCLUJ_FP_490809_1932_001.pdf","","","seria-1","Seria I (1932–1945)"
"6","aaf-seria1-1933-vol-ii","1933","II","2","1933-12-31","Anuarul Arhivei de Folklor II","published","9","245","","","","ingest/series1/BCUCLUJ_FP_490809_1933_002.pdf","","","seria-1","Seria I (1932–1945)"
"7","aaf-seria1-1935-vol-iii","1935","III","3","1935-12-31","Anuarul Arhivei de Folklor III","published","9","218","","","","ingest/series1/BCUCLUJ_FP_490809_1935_003.pdf","","","seria-1","Seria I (1932–1945)"
"8","aaf-seria1-1937-vol-iv","1937","IV","4","1937-12-31","Anuarul Arhivei de Folklor IV","published","7","257","","","","ingest/series1/BCUCLUJ_FP_490809_1937_004.pdf","","","seria-1","Seria I (1932–1945)"
"9","aaf-seria1-1939-vol-v","1939","V","5","1939-12-31","Anuarul Arhivei de Folklor V","published","8","223","","","","ingest/series1/BCUCLUJ_FP_490809_1939_005.pdf","","","seria-1","Seria I (1932–1945)"
"10","aaf-seria1-1942-vol-vi","1942","VI","6","1942-12-31","Anuarul Arhivei de Folklor VI","published","11","437","","","","ingest/series1/BCUCLUJ_FP_490809_1942_006.pdf","","","seria-1","Seria I (1932–1945)"
"11","aaf-seria1-1945-vol-vii","1945","VII","7","1945-12-31","Anuarul Arhivei de Folklor VII","published","10","211","","","","ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf","","","seria-1","Seria I (1932–1945)"
"12","aaf-seria2-1996-1998-vol-xv-xvii","1996-1998","XV-XVII","15-17","1996-12-31","Anuarul Arhivei de folclor XV-XVII","published","97","","","","","ingest/series2/Anuarul_Arhivei_de_folclor_XV-XVII.pdf","","","seria-2","Seria II (1980-1998)"
"13","aaf-seria2-1994-1995-vol-xii-xiv","1994-1995","XII-XIV","12-14","1994-12-31","Anuarul Arhivei de folclor XII-XIV","published","55","","","","","ingest/series2/Anuarul_Arhivei_de_folclor_XII-XIV.pdf","","","seria-2","Seria II (1980-1998)"
"14","aaf-seria2-1990-1993-vol-viii-xi","1990-1993","VIII-XI","8-11","1990-12-31","Anuarul Arhivei de folclor VIII-XI","published","87","","","","","ingest/series2/Anuarul_Arhivei_de_folclor_VIII-XI.pdf","","","seria-2","Seria II (1980-1998)"
"15","aaf-seria2-1987-1989-vol-v-vii","1987-1989","V-VII","5-7","1987-12-31","Anuarul de folclor V-VII","published","111","","","","","ingest/series2/Anuarul_de_folclor_V-VII.pdf","","","seria-2","Seria II (1980-1998)"
"16","aaf-seria2-1985-1986-vol-iii-iv","1985-1986","III-IV","3-4","1985-12-31","Anuarul de folclor III-IV","published","76","","","","","ingest/series2/Anuarul_de_folclor_III-IV.pdf","","","seria-2","Seria II (1980-1998)"
"17","aaf-seria2-1984-vol-ii","1984","II","2","1984-12-31","Anuarul de folclor II","published","61","","","","","ingest/series2/Anuarul_de_folclor_II.pdf","","","seria-2","Seria II (1980-1998)"
"18","aaf-seria2-1980-vol-i","1980","I","1","1980-12-31","Anuarul de folclor I","published","41","","","","","ingest/series2/Anuarul_de_folclor_I.pdf","","","seria-2","Seria II (1980-1998)"
