series,issue_slug,year,volume,issue_number,toc_index,section,author,title,pages_start_label,pages_start,pages_end,abstract_fr,keywords_fr,keywords_ro,summary_matched,summary_pages_start,summary_pages_end,source_pdf,toc_page_pdf,summary_start_page_pdf,article_pdf_path,split_pages_start_pdf,split_pages_end_pdf,split_source_start_pdf,split_source_end_pdf,split_title_ok
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,1,,Ion Muşlea,Prefaţă,I,1,4,,prefata,prefata,no,,,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/001-prefata.pdf,1,4,6,9,yes
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,2,,Prodan,Versuri contemporane despre răscoala lui Horea,5,5,42,"L’auteur étudie la coutume de placer ‘ auprés de certaines tombes — en particulier celles de garg¢ons morts avant le mariage —au sommet d’un poteau de bois sculpté, un oiseau talllé dans le bois lui aussi, repré- sentant un pigeon en grandeur naturelle. On trouve cette coutume aujourd’hui encore dans les villages roumains des départements de Hunedoara, Alba, Sibiu et Fagiras. Ces « giseaux » sont souvent peints de couleurs variées et ornés de fleurs, rubans, mou- choirs, flocons de laine. L’auteur expose les différentes variantes de cette coutume et aboutit '& la conclusion que ce pigeon représente image de |’4me aprés la mort, 4me qui, suivant la croyance répandue parmi les Roumains, prend la forme d’un oiseau. Son réle serait de défendre la tombe des mauvais esprits, durant les premiers jours aprés la mort, alors que l’4me n’a pas encore quitté la terre, mais erre dans les lieux qu’elle a fréquentés pendant la vie et revient de temps en temps revoir la «demeure > | ; ott elle a vécu (le corps). La carte de la page 34 donne l’aire de diffusion de cette coutume. Les planches I—II et la figure de la page 40 représentent quelques-uns de ces ' « oiseaux » ainsi que l’aspect de cimetiéres des villages ott a porté l’enquéte.","coutume, bois, oiseau, pigeon, encore","obicei, bois, oiseau, pigeon, encore",yes,33,41,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/002-versuri-contemporane-despre-rascoala-lui-horea.pdf,5,32,10,37,yes
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,3,,Vgh . Pavelescu,Pasărea-suflet C^jD^,,,,,"pasarea, suflet","pasarea, suflet",no,,,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/003-pasarea-suflet-c-jd.pdf,33,44,38,49,yes
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,4,,Emilpetrovici,Note de folklor delà Românii Valea Mlavei (Sârbia),43,43,76,"Dans la Serbie orientale, entre le Timoc, le Danube et la: Morava, vit une population roumaine d’environ 300.000 Ames. Dans la vallée du Danube et du Timoc, c’est-a-dire A l’extrémité est de Ia Serbie, dans la région appelée Craina, le folklore roumain — de méme que les parlers et le costume — présente des ressem- blances avec celui de l’Olténie (extrémité ouest de la Valachie). Dans le reste du terri- toire habité par des Roumains, par conséquent dans la vallée de la Mlava aussi, on constate des ressemblances avec le sud du Banat. Dans le village de Jdrela, situé 4 la 424 limite occidentale du territoire habité par des masses compactes de Roumains — plus à l'ouest, jusqu'à la Morava, les villages roumains sont dispersés parmi des villages serbes — , le folklore poétique roumain semble avoir disparu. En revanche, les for mules d'incantation se sont très bien conservées. O n a donné, en gardant les particularités les plus saillantes du parler local, quelques informations •— fournies par des sujets ori ginaires de Jdrela — sur les pratiques magiques, les incantations, les coutumes que l'on pratique à des dates fixes, ou bien à la naissance d'un enfant, aux noces, à l'enter"" rement, etc. U n choix de textes et un glossaire termine l'article.","serbie, timoc, danube, morava, vallee","serbie, timoc, danube, morava, vallee",yes,43,75,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/004-note-de-folklor-dela-romanii-valea-mlavei-sarbia.pdf,43,78,50,83,yes
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,5,,P . V. Ştefănucă,O familie de povestitori din Iurceni (Basarabia),77,77,100,"Entre les années 1871 et 1907, les étudiants de l'Académie de théologie de Sibiu, groupés autour de la revue manuscrite « Musa » •— qui tenait lieu en quelque sorte d'organe pour leur Société de lecture «Andrei Şa- guna » — développèrent une intense activité dans le domaine du folklore. L'impul sion première, dans cet ordre de préoccupations, leur était venue pour une part de leurs professeurs, mais aussi des exemples qu'ils rencontraient à chaque instant dans les périodiques transylvains ou d'outre - Carpathes. L a mise en lumière de cette acti vité est de grande importance, si l'on songe que, du moins pour la période en question, la plupart des collecteurs de folklore sont de modestes intellectuels de village: prêtres et instituteurs. En annexe on trouvera la bibliographie folklorique de la revue « Musa ».","revue, musa, annees, etudiants, theologie","revue, musa, annees, etudiants, theologie",yes,101,122,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/005-o-familie-de-povestitori-din-iurceni-basarabia.pdf,77,104,84,109,yes
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,6,,Ion Mărcuş,Preocupările folklorice ale teologilor sibieni în anii 1871—1907,101,101,122,,"preocuparile, folklorice, teologilor, sibieni, anii","preocuparile, folklorice, teologilor, sibieni, anii",no,,,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/006-preocuparile-folklorice-ale-teologilor-sibieni-in-anii-1871-1907.pdf,101,125,110,130,yes
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,7,,Vasilescurtu,Cercetări folklorice în Ugocea românească,123,123,300,"Conformément à un plan déjà ancien, l'Ar chive a char l'auteur d'étudier, en 1940, un autre point extrême de l'aire de popu lation rou* -aine, à la frontière nord-ouest du pays (cf. la carte à la page 125). Cette région et sa population ressemblent beaucoup à la région voisine à l'est (« Ţara Oaşului » ou Pays d'Oaş, étudié dans l'Annuaire I, pp. 117—237); elle possède pourtant un cer tain ensemble de caractères propres. Une introduction copieuse donne l'historique de la région et présente les villages, le type physique, le costume, le caractère des habi tants et leur niveau de civilisation; après quoi vient l'étude du folklore. Les 507 textes ont été recueillis dans 6 des 7 villages roumains de la région et comprennent des maté riaux relatifs aux cérémonies périodiques et aux coutumes concernant la vie du ber.- ceau à la tombe, des ballades, des chansons, noëls, contes, devinettes, chants d enter rement, incantations et pratiques magiques. L e parler de la région présente aussi de l'intérêt; l'auteur lui consacre également quelques pages (voir aussi le glossaire, pp. 293— 300). Sur la première planche (fig. 1 et 2) : bénédiction des paniers pleins d'aliments apportés à l'église le jour de Pâques. Sur les autres planches: types, costumes et danses des villages étudiés.","region, villages, pays, presente, conformement","regiune, sate, pays, presente, conformement",yes,123,300,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/007-cercetari-folklorice-in-ugocea-romaneasca.pdf,123,306,131,311,yes
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,8,,Elisabeta Nanu,Un manuscris cu Irozi al lui Picu Pătruţ,301,301,328,"L'auteur a découvert un interesant manuscrit d'un écrivain 42; 3 populaire transylvain connu, Pieu Pătruţ (sur une autre oeuvre de celui-ci, voir A n nuaire IV, pp. 13—29). Il s'agit cette fois de trois rédactions, datées de 1837—38, des « Irozi » (Mages) dqnnés en entier dans l'annexe. L'auteur décrit la manière de tra vailler de l'écrivain populaire et cherche à établir des rapprochements avec d'autres versions des « Irozi ». Il croit que, pour les rédactions en question, Pătruţ serait parti d'une version olténienne. La planche représente deux pages du manuscrit, dont une ;avec un dessin de la Nativité de N . S., oeuvre de l'auteur populaire lui-même.","populaire, manuscrit, ecrivain, patrut, oeuvre","popular, manuscris, ecrivain, patrut, oeuvre",yes,301,328,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/008-un-manuscris-cu-irozi-al-lui-picu-patrut.pdf,301,335,312,340,yes
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,9,,Ion Pătruţ,Folklor delà Românii din Sârbia,329,329,384,"L'Archive a chargé l'au teur de faire, en mai 1941, une enquête parmi les prisonniers d'origine roumaine de l'armée yougoslave, se trouvant dans les camps voisins de Timişoara, et de recueillir parmi eux des matériaux de folklore. La récolte a dépassé toute attente, aussi bien pour le nombre , e pour la variété des textes—lesquels n'ont d'ailleurs pas pu être pu bliés en entier. A noter qu'ils ont été recueillis surtout parmi les prisonniers provenant des ' gions éloignées du Danube (voir la carte de la page 44). (Touchant les Rou- mai Serbie, voir également ce qui est dit plus haut, dans le résumé de l'article Petr ] 5 98 textes se trouvent représentés tous les genres de productions popu laire dlade, la chanson, les devinettes, les contes, les coutumes magiques et les inc? s. Très nombreuses sont ces dernières, de même que les informations rela tivi naissance, aux noces, à la mort, et aux fêtes de l'année. L'auteur a étudié aussi le yparler de ces Roumains (voir le glossaire, pp. 379—384). Bibliographie du folklore roumain (année 1938), pp. 385—422. /.","parmi, voir, prisonniers, textes, annee","parmi, voir, prisonniers, textes, annee",yes,329,384,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/009-folklor-dela-romanii-din-sarbia.pdf,329,391,341,396,yes
Seria I (1932-1945),aaf-seria1-1942-vol-vi,1942,VI,6,10,,,Bibliografia folklorului românesc pe anul 1938,385,385,,,"bibliografia, folklorului, romanesc, anul","bibliografia, folklorului, romanesc, anul",no,,,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1942_006.pdf,5,435,ingest/series1/issues/aaf-seria1-1942-vol-vi/articles/010-bibliografia-folklorului-romanesc-pe-anul-1938.pdf,385,429,397,434,yes
