issue_slug,toc_index,author,title,pages_start,pages_end,reason
aaf-seria1-1932-vol-i,7,Ion Muşlea,Cercetări folklorice în Ţara Oaşului 1 1 7 1 / Bibliografia folklorului românesc pe anul 1930,241,250,no_summary_match
aaf-seria1-1932-vol-i,8,,Raport anual,251,,no_summary_match
aaf-seria1-1933-vol-ii,7,,Bibliografia lucrărilor de cuprins folkloric şi etnografic publicate de Academia Română (1867—1930),221,228,no_summary_match
aaf-seria1-1933-vol-ii,8,,Bibliografia folklorului românesc pe anii 1931—1932,229,246,no_summary_match
aaf-seria1-1933-vol-ii,9,,Raport anual (1932),247,,no_summary_match
aaf-seria1-1935-vol-iii,4,Boj . Oga,Raportul din 1756 al unui chirurg german despre credinţele Românilor asupra moroilor,159,168,no_summary_match
aaf-seria1-1935-vol-iii,6,P. V. Ştefănucă,Contribuţie la bibliografia studiilor şi culege rilor de folklor privitoare la Românii din Basarabia şi po poarele conlocuitoare — publicate în periodicele iik-eţt,177,188,no_summary_match
aaf-seria1-1935-vol-iii,7,,Bibliografia folklorului românesc pe anii 1933—34,189,210,no_summary_match
aaf-seria1-1935-vol-iii,8,,Raport anual '1933—34),211,,no_summary_match
aaf-seria1-1937-vol-iv,6,,Bibliografia folklorului românesc pe anul 1935,243,262,no_summary_match
aaf-seria1-1937-vol-iv,7,,Raport anual (1935—36),263,,no_summary_match
aaf-seria1-1939-vol-v,6,,Bibliografia folklorului românesc pe anii 1936—1937,177,212,no_summary_match
aaf-seria1-1939-vol-v,7,,Raport anual (1937-38),213,,no_summary_match
aaf-seria1-1942-vol-vi,1,Ion Muşlea,Prefaţă,1,4,no_summary_match
aaf-seria1-1942-vol-vi,3,Vgh . Pavelescu,Pasărea-suflet C^jD^,,,no_summary_match
aaf-seria1-1942-vol-vi,6,Ion Mărcuş,Preocupările folklorice ale teologilor sibieni în anii 1871—1907,101,122,no_summary_match
aaf-seria1-1942-vol-vi,10,,Bibliografia folklorului românesc pe anul 1938,385,,no_summary_match
aaf-seria1-1945-vol-vii,2,Artur Gorovei,M. Gaster şi folkiorul românesc,,,no_summary_match
aaf-seria1-1945-vol-vii,3,Tatiana Găluşcă,"""Mocanii"". Un. joc dramatic al Românilor din Dobrogea",12,34,no_summary_match
aaf-seria1-1945-vol-vii,8,Romulus Todoran,Poezii populare într'un manuscris ardelean din 1831,131,139,no_summary_match
aaf-seria1-1945-vol-vii,9,,Bibliografia folklorului românesc pe anii 1939—1943,140,,no_summary_match
